Dataset_ID	num_genes	mean_score
GSE5847.tsv	5	0.643510101010101
GSE5847.tsv	5	0.5573484848484849
GSE5847.tsv	5	0.6142171717171717
GSE5847.tsv	5	0.6801767676767676
GSE5847.tsv	5	0.5500757575757576
GSE5847.tsv	5	0.6902525252525253
GSE5847.tsv	5	0.6033080808080807
GSE5847.tsv	5	0.5626010101010102
GSE5847.tsv	5	0.6537121212121213
GSE5847.tsv	5	0.5071969696969697
GSE5847.tsv	5	0.6478787878787878
GSE5847.tsv	5	0.5267171717171717
GSE5847.tsv	5	0.6530555555555556
GSE5847.tsv	5	0.6269191919191919
GSE5847.tsv	5	0.6296717171717172
GSE5847.tsv	5	0.6987373737373738
GSE5847.tsv	5	0.539949494949495
GSE5847.tsv	5	0.471969696969697
GSE5847.tsv	5	0.5783080808080807
GSE5847.tsv	5	0.5715151515151515
GSE5847.tsv	5	0.5969949494949496
GSE5847.tsv	5	0.5219444444444445
GSE5847.tsv	5	0.5705303030303029
GSE5847.tsv	5	0.4679040404040403
GSE5847.tsv	5	0.6464393939393939
GSE5847.tsv	5	0.5421969696969697
GSE5847.tsv	5	0.6201767676767677
GSE5847.tsv	5	0.6330555555555556
GSE5847.tsv	5	0.6169191919191919
GSE5847.tsv	5	0.7112121212121212
GSE5847.tsv	5	0.7353030303030302
GSE5847.tsv	5	0.7041919191919194
GSE5847.tsv	5	0.5994191919191918
GSE5847.tsv	5	0.6814141414141415
GSE5847.tsv	5	0.6373989898989899
GSE5847.tsv	5	0.6546212121212122
GSE5847.tsv	5	0.5604040404040403
GSE5847.tsv	5	0.5762878787878788
GSE5847.tsv	5	0.733030303030303
GSE5847.tsv	5	0.5442929292929293
GSE5847.tsv	5	0.7214141414141415
GSE5847.tsv	5	0.5737878787878788
GSE5847.tsv	5	0.6076262626262625
GSE5847.tsv	5	0.718939393939394
GSE5847.tsv	5	0.6901010101010101
GSE5847.tsv	5	0.5049242424242424
GSE5847.tsv	5	0.5444949494949495
GSE5847.tsv	5	0.6367676767676769
GSE5847.tsv	5	0.5896464646464646
GSE5847.tsv	5	0.5473989898989899
GSE5847.tsv	5	0.5649242424242423
GSE5847.tsv	5	0.6544191919191918
GSE5847.tsv	5	0.7176010101010102
GSE5847.tsv	5	0.6049242424242424
GSE5847.tsv	5	0.64739898989899
GSE5847.tsv	5	0.7289393939393941
GSE5847.tsv	5	0.6369191919191919
GSE5847.tsv	5	0.7266414141414141
GSE5847.tsv	5	0.8032323232323233
GSE5847.tsv	5	0.6219191919191919
GSE5847.tsv	5	0.7448232323232322
GSE5847.tsv	5	0.6782323232323233
GSE5847.tsv	5	0.648989898989899
GSE5847.tsv	5	0.61489898989899
GSE5847.tsv	5	0.5353282828282829
GSE5847.tsv	5	0.6019191919191919
GSE5847.tsv	5	0.5426262626262626
GSE5847.tsv	5	0.6405808080808081
GSE5847.tsv	5	0.6903030303030304
GSE5847.tsv	5	0.6309595959595959
GSE5847.tsv	5	0.6319444444444444
GSE5847.tsv	5	0.6221969696969697
GSE5847.tsv	5	0.7146212121212121
GSE5847.tsv	5	0.5660858585858586
GSE5847.tsv	5	0.6791919191919191
GSE5847.tsv	5	0.6578030303030302
GSE5847.tsv	5	0.5776010101010101
GSE5847.tsv	5	0.6168939393939394
GSE5847.tsv	5	0.6321717171717172
GSE5847.tsv	5	0.5591919191919192
GSE5847.tsv	5	0.5823484848484848
GSE5847.tsv	5	0.8398232323232323
GSE5847.tsv	5	0.6717171717171717
GSE5847.tsv	5	0.6751010101010101
GSE5847.tsv	5	0.6187121212121213
GSE5847.tsv	5	0.6468939393939394
GSE5847.tsv	5	0.6919191919191918
GSE5847.tsv	5	0.49171717171717166
GSE5847.tsv	5	0.5308080808080808
GSE5847.tsv	5	0.4944949494949495
GSE5847.tsv	5	0.6540151515151515
GSE5847.tsv	5	0.6850252525252526
GSE5847.tsv	5	0.5709595959595959
GSE5847.tsv	5	0.6416919191919193
GSE5847.tsv	5	0.6010353535353535
GSE5847.tsv	5	0.5678282828282828
GSE5847.tsv	5	0.7223232323232324
GSE5847.tsv	5	0.6562878787878788
GSE5847.tsv	5	0.4715151515151515
GSE5847.tsv	5	0.6598232323232324
GSE32646.tsv	5	0.48317460317460315
GSE32646.tsv	5	0.6287698412698413
GSE32646.tsv	5	0.6370634920634921
GSE32646.tsv	5	0.5562301587301587
GSE32646.tsv	5	0.6453174603174604
GSE32646.tsv	5	0.6467460317460317
GSE32646.tsv	5	0.5950396825396825
GSE32646.tsv	5	0.5261507936507936
GSE32646.tsv	5	0.6601984126984126
GSE32646.tsv	5	0.6438492063492063
GSE32646.tsv	5	0.6616269841269841
GSE32646.tsv	5	0.651547619047619
GSE32646.tsv	5	0.6907142857142857
GSE32646.tsv	5	0.5303174603174603
GSE32646.tsv	5	0.685357142857143
GSE32646.tsv	5	0.6100793650793651
GSE32646.tsv	5	0.6123412698412698
GSE32646.tsv	5	0.4617857142857143
GSE32646.tsv	5	0.4925
GSE32646.tsv	5	0.48126984126984135
GSE32646.tsv	5	0.5684920634920635
GSE32646.tsv	5	0.5757142857142857
GSE32646.tsv	5	0.6342460317460318
GSE32646.tsv	5	0.6339682539682541
GSE32646.tsv	5	0.7286111111111111
GSE32646.tsv	5	0.6255952380952381
GSE32646.tsv	5	0.7066269841269842
GSE32646.tsv	5	0.7383333333333333
GSE32646.tsv	5	0.6005555555555555
GSE32646.tsv	5	0.780515873015873
GSE32646.tsv	5	0.5911904761904762
